Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3275","0.3"
"268000","0","3287","0.3"
"479000","0","3281","0.3"
"688000","0","3285","0.3"
"898000","0","3282","0.3"
"1363000","0","3284","0.3"
"1573000","0","3281","0.3"
"1782000","0","3283","0.6"
"1991000","0","3282","0.6"
"2202000","0","3284","0.6"
"2609000","0","3283","0.6"
"2877000","0","3284","0.6"
"3087000","0","3283","0.6"
"3297000","0","3284","0.6"
"3506000","0","3283","0.6"
"3913000","0","3283","0.6"
"4181000","0","3283","0.9"
"4392000","0","3284","0.9"
"4601000","0","3283","0.9"
"4811000","0","3284","0.9"
"5219000","0","3283","0.9"
"5488000","0","3284","0.9"
"5697000","0","3283","0.9"
"5907000","0","3283","0.9"
"6118000","0","3283","0.9"
"6525000","0","3283","1.2"
"6792000","0","3283","1.2"
"7002000","0","3283","1.2"
"7218000","0","3283","1.2"
"7427000","0","3283","1.2"
"7835000","0","3283","1.2"
"8103000","0","3283","1.2"
"8314000","0","3283","1.2"
"8523000","0","3283","1.2"
"8734000","0","3283","1.5"
"9260000","0","3283","1.5"
"9469000","0","3283","1.5"
"9679000","0","3283","1.5"
"9889000","0","3283","1.5"
"10100000","0","3283","1.5"
"10508000","0","3283","1.5"
"10776000","0","3283","1.5"
"10986000","0","3283","1.7"
"11195000","0","3283","1.7"
"11406000","0","3283","1.7"
"11871000","0","3283","1.7"
"12081000","0","3283","1.7"
"12291000","0","3283","1.7"
"12501000","0","3283","1.7"
"12711000","0","3283","1.7"
"13119000","0","3283","2.0"
"13386000","0","3283","2.0"
"13596000","0","3283","2.0"
"13806000","0","3283","2.0"
"14016000","0","3283","2.0"
"14424000","0","3283","2.0"
"14691000","0","3283","2.0"
"14901000","0","3283","2.0"
"15111000","0","3283","2.0"
"15321000","0","3283","2.0"
"15786000","0","3283","2.3"
"15996000","0","3283","2.3"
"16205000","0","3283","2.3"
"16416000","0","3283","2.3"
"16625000","0","3283","2.3"
"17033000","0","3283","2.3"
"17306000","0","3283","2.3"
"17516000","0","3283","2.3"
"17726000","0","3283","2.6"
"17936000","0","3283","2.6"
"18343000","0","3283","2.6"
"18611000","0","3283","2.6"
"18820000","0","3283","2.6"
"19031000","0","3283","2.6"
"19240000","0","3283","2.6"
"19647000","0","3283","2.6"
"19914000","0","3283","2.9"
"20124000","0","3283","2.9"
"20334000","0","3283","2.9"
"20545000","0","3283","2.9"
"20952000","0","3283","2.9"
"21221000","0","3283","2.9"
"21431000","0","3283","2.9"
"21640000","0","3283","2.9"
"21851000","0","3283","2.9"
"22259000","0","3283","3.2"
"22469000","0","3283","3.2"
"22736000","0","3283","3.2"
"22945000","0","3283","3.2"
"23155000","0","3283","3.2"
"23563000","0","3283","3.2"
"23831000","0","3283","3.2"
"24041000","0","3283","3.2"
"24250000","0","3283","3.2"
"24461000","0","3283","3.2"
"24869000","0","3283","3.5"
"25137000","0","3283","3.5"
"25347000","0","3283","3.5"
"25557000","0","3283","3.5"
"25767000","0","3283","3.5"
"26175000","0","3283","3.5"
"26442000","0","3283","3.5"
"26652000","0","3283","3.5"
"26862000","0","3283","3.8"
"27077000","0","3283","3.8"
"27485000","0","3283","3.8"
"27752000","0","3283","3.8"
"27963000","0","3283","3.8"
"28172000","0","3283","3.8"
"28382000","0","3283","3.8"
"28848000","0","3283","3.8"
"29057000","0","3283","4.1"
"29267000","0","3283","4.1"
"29477000","0","3283","4.1"
"29688000","0","3283","4.1"
"30095000","0","3283","4.1"
"30362000","0","3283","4.1"
"30572000","0","3283","4.1"
"30782000","0","3283","4.1"
"30992000","0","3283","4.1"
"31400000","0","3283","4.3"
"31667000","0","3283","4.3"
"31878000","0","3283","4.3"
"32088000","0","3283","4.3"
"32298000","0","3283","4.3"
"32705000","0","3283","4.3"
"32973000","0","3283","4.3"
"33182000","0","3283","4.3"
"33392000","0","3283","4.3"
"33602000","0","3283","4.3"
"34010000","0","3283","4.6"
"34278000","0","3283","4.6"
"34488000","0","3283","4.6"
"34698000","0","3283","4.6"
"34908000","0","3283","4.6"
"35315000","0","3283","4.6"
