Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3269","0.7"
"267000","0","3283","1.1"
"477000","0","3278","1.1"
"687000","0","3281","1.1"
"897000","0","3279","1.4"
"1305000","0","3283","1.4"
"1573000","0","3281","1.8"
"1783000","0","3283","1.8"
"1994000","0","3282","2.2"
"2204000","0","3283","2.2"
"2612000","0","3282","2.6"
"2879000","0","3283","2.6"
"3089000","0","3282","2.6"
"3298000","0","3283","2.9"
"3507000","0","3282","2.9"
"3915000","0","3283","3.3"
"4183000","0","3282","3.3"
"4392000","0","3283","3.7"
"4602000","0","3282","3.7"
"4812000","0","3283","3.7"
"5219000","0","3282","4.0"
"5487000","0","3283","4.4"
"5697000","0","3282","4.4"
"5908000","0","3283","4.4"
"6117000","0","3283","4.8"
"6524000","0","3283","4.8"
"6793000","0","3283","5.2"
"7002000","0","3283","5.2"
"7212000","0","3282","5.2"
"7423000","0","3283","5.5"
"7830000","0","3282","5.9"
"8098000","0","3283","5.9"
"8307000","0","3282","5.9"
"8517000","0","3283","6.3"
"8727000","0","3282","6.3"
"9135000","0","3283","6.7"
"9402000","0","3282","6.7"
"9612000","0","3283","7.0"
"9828000","0","3283","7.0"
"10037000","0","3283","7.0"
"10446000","0","3282","7.4"
"10713000","0","3283","7.8"
"10923000","0","3283","7.8"
"11133000","0","3283","7.8"
"11343000","0","3283","8.2"
"11751000","0","3283","8.2"
"12019000","0","3283","8.5"
"12229000","0","3283","8.5"
"12439000","0","3282","8.5"
"12649000","0","3283","8.9"
"13056000","0","3283","8.9"
"13324000","0","3283","9.3"
"13534000","0","3283","9.3"
"13744000","0","3283","9.7"
"13954000","0","3283","9.7"
"14361000","0","3283","10.0"
"14630000","0","3283","10.0"
"14839000","0","3283","10.0"
"15049000","0","3283","10.4"
"15260000","0","3283","10.4"
"15725000","0","3283","10.8"
"15936000","0","3283","10.8"
"16146000","0","3283","11.1"
"16356000","0","3283","11.1"
"16566000","0","3283","11.1"
"16974000","0","3283","11.5"
"17241000","0","3283","11.5"
"17450000","0","3283","11.9"
"17660000","0","3283","11.9"
"17871000","0","3283","11.9"
"18278000","0","3283","12.2"
"18546000","0","3283","12.6"
"18756000","0","3283","12.6"
"18966000","0","3283","12.6"
"19176000","0","3283","13.0"
"19583000","0","3283","13.0"
"19857000","0","3283","13.4"
"20067000","0","3283","13.4"
"20277000","0","3283","13.4"
"20486000","0","3283","13.7"
"20893000","0","3283","13.7"
"21160000","0","3283","14.1"
"21370000","0","3283","14.1"
"21580000","0","3283","14.5"
"21790000","0","3283","14.5"
"22197000","0","3283","14.9"
"22466000","0","3283","14.9"
"22676000","0","3283","14.9"
"22887000","0","3283","15.2"
"23097000","0","3283","15.2"
"23505000","0","3283","15.6"
"23772000","0","3283","15.6"
"23982000","0","3283","15.6"
"24191000","0","3283","16.0"
"24401000","0","3283","16.0"
"24809000","0","3283","16.3"
"25076000","0","3283","16.3"
"25285000","0","3283","16.7"
"25495000","0","3283","16.7"
"25705000","0","3283","16.7"
"26113000","0","3283","17.1"
"26380000","0","3283","17.5"
"26590000","0","3283","17.5"
"26800000","0","3282","17.5"
"27011000","0","3282","17.8"
"27418000","0","3282","17.8"
"27687000","0","3282","18.2"
"27897000","0","3282","18.2"
"28106000","0","3282","18.6"
"28316000","0","3283","18.6"
"28723000","0","3283","19.0"
"28990000","0","3283","19.0"
"29200000","0","3283","19.0"
"29410000","0","3283","19.3"
"29620000","0","3283","19.3"
"30033000","0","3283","19.7"
"30301000","0","3283","19.7"
"30510000","0","3283","20.1"
"30720000","0","3283","20.1"
"30931000","0","3283","20.1"
"31395000","0","3283","20.4"
"31605000","0","3282","20.8"
"31815000","0","3282","20.8"
"32025000","0","3282","20.8"
"32235000","0","3282","21.2"
"32700000","0","3282","21.2"
"32911000","0","3282","21.6"
"33121000","0","3282","21.6"
"33330000","0","3282","21.6"
"33539000","0","3282","21.9"
"34005000","0","3282","22.3"
"34215000","0","3283","22.3"
"34425000","0","3283","22.3"
"34634000","0","3282","22.7"
"34844000","0","3283","22.7"
"35251000","0","3283","23.1"
"35520000","0","3283","23.1"
"35729000","0","3283","23.1"
"35939000","0","3283","23.4"
"36149000","0","3282","23.4"
"36557000","0","3282","23.8"
"36825000","0","3282","23.8"
"37034000","0","3283","23.8"
"37244000","0","3283","24.2"
"37454000","0","3283","24.2"
"37863000","0","3283","24.5"
"38130000","0","3283","24.5"
"38340000","0","3283","24.9"
"38550000","0","3283","24.9"
"38760000","0","3283","24.9"
"39168000","0","3283","25.3"
"39435000","0","3283","25.3"
"39650000","0","3283","25.7"
"39866000","0","3283","25.7"
"40076000","0","3283","26.0"
"40484000","0","3283","26.0"
"40752000","0","3283","26.4"
"40961000","0","3283","26.4"
"41171000","0","3283","26.4"
"41381000","0","3283","26.8"
"41788000","0","3283","26.8"
"42056000","0","3283","27.1"
"42265000","0","3283","27.1"
"42475000","0","3283","27.1"
"42686000","0","3283","27.5"
"43093000","0","3283","27.5"
"43361000","0","3283","27.9"
"43571000","0","3283","27.9"
"43781000","0","3283","28.3"
"43991000","0","3283","28.3"
"44398000","0","3283","28.6"
"44666000","0","3283","28.6"
"44876000","0","3283","29.0"
"45086000","0","3283","29.0"
"45296000","0","3283","29.0"
"45761000","0","3283","29.4"
"45972000","0","3283","29.4"
"46181000","0","3283","29.8"
"46391000","0","3283","29.8"
"46600000","0","3283","29.8"
"47008000","0","3283","30.1"
"47275000","0","3283","30.5"
"47484000","0","3283","30.5"
"47694000","0","3283","30.5"
"47904000","0","3283","30.9"
"48311000","0","3283","30.9"
"48579000","0","3283","31.2"
"48789000","0","3283","31.2"
"48999000","0","3283","31.6"
"49209000","0","3283","31.6"
"49617000","0","3283","32.0"
"49890000","0","3283","32.0"
"50100000","0","3283","32.0"
"50311000","0","3283","32.4"
"50521000","0","3283","32.4"
"50928000","0","3283","32.7"
"51196000","0","3283","32.7"
"51404000","0","3283","33.1"
"51614000","0","3283","33.1"
"51824000","0","3283","33.1"
"52232000","0","3283","33.5"
"52499000","0","3283","33.9"
"52709000","0","3283","33.9"
"52919000","0","3283","33.9"
"53129000","0","3283","34.2"
"53537000","0","3283","34.2"
"53805000","0","3283","34.6"
"54014000","0","3282","34.6"
"54225000","0","3282","34.6"
"54434000","0","3282","35.0"
"54841000","0","3282","35.0"
"55107000","0","3282","35.3"
"55317000","0","3282","35.3"
"55527000","0","3282","35.7"
"55738000","0","3282","35.7"
"56202000","0","3282","36.1"
"56412000","0","3282","36.1"
"56622000","0","3282","36.1"
"56832000","0","3282","36.5"
"57041000","0","3282","36.5"
"57449000","0","3282","36.8"
"57717000","0","3282","36.8"
"57927000","0","3282","37.2"
"58136000","0","3282","37.2"
"58345000","0","3282","37.2"
"58753000","0","3282","37.6"
"59020000","0","3282","37.6"
"59230000","0","3282","37.9"
"59440000","0","3283","37.9"
"59650000","0","3283","37.9"
"60064000","0","3283","38.3"
"60332000","0","3282","38.3"
"60542000","0","3282","38.7"
"60752000","0","3283","38.7"
"60962000","0","3283","39.1"
"61369000","0","3283","39.1"
"61637000","0","3283","39.4"
"61847000","0","3283","39.4"
"62057000","0","3283","39.4"
"62266000","0","3283","39.8"
"62673000","0","3282","39.8"
"62940000","0","3282","40.2"
"63151000","0","3283","40.2"
"63361000","0","3282","40.2"
"63570000","0","3282","40.5"
"63978000","0","3282","40.5"
"64245000","0","3282","40.9"
"64456000","0","3282","40.9"
"64666000","0","3282","41.3"
"64876000","0","3282","41.3"
"65283000","0","3283","41.7"
"65551000","0","3282","41.7"
"65761000","0","3282","42.0"
"65970000","0","3283","42.0"
"66180000","0","3282","42.0"
"66587000","0","3283","42.4"
"66855000","0","3282","42.4"
"67064000","0","3282","42.8"
"67273000","0","3282","42.8"
"67483000","0","3282","42.8"
"67891000","0","3282","43.1"
"68157000","0","3282","43.5"
"68368000","0","3283","43.5"
"68577000","0","3282","43.5"
"68787000","0","3282","43.9"
"69194000","0","3282","43.9"
"69463000","0","3282","44.3"
"69673000","0","3282","44.3"
"69889000","0","3282","44.7"
"70099000","0","3282","44.7"
"70506000","0","3282","45.0"
"70774000","0","3282","45.0"
"70985000","0","3282","45.0"
"71194000","0","3282","45.4"
"71404000","0","3282","45.4"
"71811000","0","3282","45.8"
"72078000","0","3282","45.8"
"72288000","0","3282","46.1"
"72499000","0","3282","46.1"
"72708000","0","3282","46.1"
"73116000","0","3282","46.5"
"73384000","0","3282","46.5"
"73594000","189900","3282","46.9"
"73804000","189900","3282","46.9"
"74014000","189900","3282","47.3"
"74478000","189900","3282","47.3"
"74689000","189900","3282","47.6"
"74899000","189900","3282","47.6"
"75109000","189900","3282","47.6"
"75317000","189900","3282","48.0"
"75724000","189900","3282","48.0"
"75992000","189900","3282","48.4"
"76202000","189900","3282","48.4"
"76412000","189900","3282","48.4"
"76623000","189900","3282","48.7"
"77031000","189900","3283","48.7"
"77299000","189900","3283","49.1"
"77509000","189900","3283","49.1"
"77720000","189900","3283","49.5"
"77930000","189900","3283","49.5"
"78338000","189900","3283","49.9"
"78606000","189900","3283","49.9"
"78816000","189900","3283","49.9"
"79026000","189900","3283","50.2"
"79236000","189900","3283","50.2"
"79644000","189900","3283","50.6"
"79918000","189900","3283","50.6"
"80128000","189900","3283","51.0"
"80339000","189900","3283","51.0"
"80549000","189900","3283","51.0"
"80957000","189900","3283","51.3"
"81225000","189900","3283","51.3"
"81448000","189900","3283","51.7"
"81658000","189900","3283","51.7"
"81868000","189900","3283","51.7"
"82275000","189900","3283","52.1"
"82544000","189900","3283","52.5"
"82753000","189900","3283","52.5"
"82963000","189900","3283","52.5"
"83173000","189900","3283","52.8"
"83580000","189900","3283","52.8"
"83848000","189900","3283","53.2"
"84058000","189900","3283","53.2"
"84268000","189900","3283","53.2"
"84478000","189900","3283","53.6"
"84886000","189900","3283","54.0"
"85155000","189900","3283","54.0"
