Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3272","1.1"
"268000","0","3283","1.1"
"478000","0","3279","1.5"
"688000","0","3282","1.5"
"898000","0","3279","1.8"
"1306000","0","3282","2.2"
"1574000","0","3280","2.2"
"1783000","0","3282","2.6"
"1993000","0","3281","2.6"
"2203000","0","3282","3.0"
"2610000","0","3281","3.4"
"2879000","0","3282","3.4"
"3088000","0","3281","3.7"
"3298000","0","3282","3.7"
"3509000","0","3282","4.1"
"3916000","0","3283","4.5"
"4184000","0","3282","4.5"
"4393000","0","3283","4.9"
"4603000","0","3282","4.9"
"4818000","0","3283","5.3"
"5209000","0","3282","5.3"
"5485000","0","3283","5.6"
"5695000","0","3282","5.6"
"5904000","0","3283","6.0"
"6113000","0","3282","6.0"
"6527000","0","3283","6.4"
"6795000","0","3282","6.8"
"7005000","0","3282","6.8"
"7215000","0","3282","7.1"
"7424000","0","3282","7.1"
"7832000","0","3281","7.5"
"8100000","0","3282","7.9"
"8310000","0","3281","7.9"
"8519000","0","3282","8.3"
"8729000","0","3281","8.3"
"9194000","0","3282","8.7"
"9405000","0","3281","9.0"
"9615000","0","3282","9.0"
"9825000","0","3281","9.4"
"10035000","0","3282","9.4"
"10443000","0","3281","9.8"
"10710000","0","3282","10.2"
"10920000","0","3281","10.2"
"11129000","0","3282","10.6"
"11339000","0","3281","10.6"
"11746000","0","3282","10.9"
"12014000","0","3281","11.3"
"12224000","0","3282","11.3"
"12434000","0","3281","11.7"
"12643000","0","3282","11.7"
"13051000","0","3282","12.1"
"13320000","0","3282","12.5"
"13530000","0","3282","12.5"
"13740000","0","3282","12.8"
"13951000","0","3282","12.8"
"14416000","0","3282","13.2"
"14626000","0","3282","13.6"
"14836000","0","3282","13.6"
"15045000","0","3282","14.0"
"15256000","0","3282","14.0"
"15663000","0","3282","14.3"
"15931000","0","3282","14.3"
"16141000","0","3282","14.7"
"16356000","0","3282","14.7"
"16567000","0","3282","15.1"
"17032000","0","3282","15.5"
"17241000","0","3282","15.5"
"17451000","0","3282","15.9"
"17661000","0","3282","15.9"
"17871000","0","3282","16.2"
"18278000","0","3282","16.6"
"18545000","0","3282","16.6"
"18756000","0","3282","17.0"
"18966000","0","3282","17.0"
"19176000","0","3282","17.4"
"19584000","0","3282","17.8"
"19853000","0","3282","17.8"
"20062000","0","3282","18.1"
"20271000","0","3282","18.1"
"20480000","0","3283","18.5"
"20888000","0","3283","18.9"
"21154000","0","3283","18.9"
"21365000","0","3283","19.3"
"21576000","0","3283","19.3"
"21785000","0","3283","19.7"
"22192000","0","3283","20.0"
"22461000","0","3283","20.0"
"22671000","0","3283","20.4"
"22881000","0","3283","20.4"
"23091000","0","3283","20.8"
"23499000","0","3283","20.8"
"23765000","0","3283","21.2"
"23976000","0","3283","21.5"
"24185000","0","3283","21.5"
"24395000","0","3283","21.5"
"24803000","0","3283","21.9"
"25072000","0","3283","22.3"
"25282000","0","3284","22.3"
"25492000","0","3284","22.7"
"25702000","0","3284","22.7"
"26111000","0","3283","23.0"
"26383000","0","3283","23.4"
"26593000","0","3283","23.4"
"26803000","0","3283","23.8"
"27013000","0","3283","23.8"
"27421000","0","3283","24.2"
"27690000","0","3283","24.6"
"27900000","0","3283","24.6"
"28111000","0","3283","25.0"
"28320000","0","3283","25.0"
"28786000","0","3283","25.3"
"28995000","0","3283","25.7"
"29205000","0","3282","25.7"
"29415000","0","3282","26.1"
"29625000","0","3282","26.1"
"30032000","0","3282","26.5"
"30300000","0","3282","26.8"
"30510000","0","3282","26.8"
"30720000","0","3282","27.2"
"30930000","0","3282","27.2"
"31338000","0","3282","27.6"
"31606000","0","3282","28.0"
