Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3293","0.0"
"210000","0","3278","0.0"
"420000","0","3282","0.0"
"630000","0","3280","0.3"
"846000","0","3283","0.3"
"1254000","0","3281","0.3"
"1522000","0","3284","0.3"
"1732000","0","3282","0.3"
"1942000","0","3284","0.3"
"2151000","0","3282","0.3"
"2559000","0","3283","0.3"
"2827000","0","3282","0.3"
"3037000","0","3284","0.5"
"3247000","0","3283","0.5"
"3457000","0","3284","0.5"
"3923000","0","3283","0.5"
"4133000","0","3284","0.5"
"4343000","0","3283","0.5"
"4553000","0","3284","0.5"
"4763000","0","3283","0.5"
"5170000","0","3284","0.8"
"5439000","0","3283","0.8"
"5648000","0","3284","0.8"
"5858000","0","3283","0.8"
"6068000","0","3284","0.8"
"6534000","0","3283","0.8"
"6743000","0","3284","0.8"
"6955000","0","3283","0.8"
"7164000","0","3283","0.8"
"7375000","0","3283","0.8"
"7782000","0","3284","1.1"
"8049000","0","3283","1.1"
"8259000","0","3284","1.1"
"8470000","0","3283","1.1"
"8679000","0","3284","1.1"
"9088000","0","3283","1.1"
"9355000","0","3283","1.1"
"9566000","0","3283","1.1"
"9775000","0","3283","1.4"
"9985000","0","3283","1.4"
"10392000","0","3283","1.4"
"10666000","0","3283","1.4"
"10875000","0","3283","1.4"
"11085000","0","3283","1.4"
"11296000","0","3283","1.4"
"11703000","0","3283","1.4"
"11972000","0","3283","1.7"
"12182000","0","3283","1.7"
"12391000","0","3283","1.7"
"12602000","0","3283","1.7"
"13009000","0","3283","1.7"
"13277000","0","3283","1.7"
"13486000","0","3283","1.7"
"13697000","0","3283","1.7"
"13906000","0","3283","1.7"
"14313000","0","3283","2.0"
"14581000","0","3283","2.0"
"14791000","0","3283","2.0"
"15001000","0","3283","2.0"
"15211000","0","3283","2.0"
"15619000","0","3283","2.0"
"15886000","0","3283","2.0"
"16096000","0","3283","2.0"
"16306000","0","3283","2.0"
"16515000","0","3283","2.3"
"16923000","0","3283","2.3"
"17191000","0","3283","2.3"
"17401000","0","3283","2.3"
"17611000","0","3283","2.3"
"17820000","0","3283","2.3"
"18227000","0","3283","2.3"
"18496000","0","3283","2.3"
"18706000","0","3282","2.3"
"18916000","0","3282","2.5"
"19126000","0","3282","2.5"
"19533000","0","3283","2.5"
"19801000","0","3283","2.5"
"20011000","0","3283","2.5"
"20221000","0","3283","2.5"
"20431000","0","3282","2.5"
"20844000","0","3282","2.9"
"21112000","0","3282","2.9"
"21323000","0","3282","2.9"
"21533000","0","3282","2.9"
"21742000","0","3282","2.9"
"22151000","0","3282","2.9"
"22418000","0","3282","2.9"
"22629000","0","3282","2.9"
"22839000","0","3282","2.9"
"23049000","0","3282","3.1"
"23457000","0","3282","3.1"
"23725000","0","3282","3.1"
"23935000","0","3282","3.1"
"24146000","0","3282","3.1"
"24356000","0","3282","3.1"
"24764000","0","3282","3.1"
"25031000","0","3282","3.1"
"25241000","0","3282","3.4"
"25451000","0","3282","3.4"
"25661000","0","3282","3.4"
"26068000","0","3282","3.4"
"26336000","0","3282","3.4"
"26546000","0","3282","3.4"
"26756000","0","3282","3.4"
"26965000","0","3282","3.4"
"27373000","0","3282","3.4"
"27641000","0","3282","3.7"
"27851000","0","3282","3.7"
"28061000","0","3282","3.7"
"28271000","0","3282","3.7"
"28679000","0","3282","3.7"
"28946000","0","3282","3.7"
"29156000","0","3282","3.7"
"29366000","0","3282","3.7"
"29575000","0","3282","3.7"
"29983000","0","3282","4.0"
"30251000","0","3282","4.0"
"30461000","0","3282","4.0"
"30677000","0","3282","4.0"
"30887000","0","3282","4.0"
"31295000","0","3282","4.0"
"31563000","0","3282","4.0"
"31772000","0","3282","4.0"
"31982000","0","3282","4.0"
"32192000","0","3282","4.3"
"32601000","0","3282","4.3"
"32868000","0","3282","4.3"
"33078000","0","3282","4.3"
"33287000","0","3282","4.3"
"33497000","0","3282","4.3"
"33904000","0","3282","4.3"
"34173000","0","3282","4.3"
"34382000","0","3282","4.6"
"34593000","0","3282","4.6"
"34802000","0","3282","4.6"
"35211000","0","3282","4.6"
"35478000","0","3282","4.6"
"35688000","0","3282","4.6"
"35898000","0","3282","4.6"
"36109000","0","3282","4.6"
"36578000","0","3282","4.9"
"36789000","0","3282","4.9"
"36999000","0","3283","4.9"
"37208000","0","3283","4.9"
"37419000","0","3283","4.9"
"37826000","0","3283","4.9"
"38094000","0","3283","4.9"
"38304000","0","3283","4.9"
"38515000","0","3282","4.9"
"38726000","0","3283","4.9"
"39133000","0","3283","5.1"
"39401000","0","3283","5.1"
"39611000","0","3283","5.1"
"39821000","0","3283","5.1"
"40032000","0","3283","5.1"
"40439000","0","3283","5.1"
"40712000","0","3283","5.1"
"40923000","0","3283","5.1"
"41133000","0","3283","5.4"
"41343000","0","3283","5.4"
"41750000","0","3283","5.4"
"42018000","0","3283","5.4"
"42228000","0","3283","5.4"
"42438000","0","3283","5.4"
"42647000","0","3283","5.4"
"43056000","0","3283","5.4"
"43324000","0","3283","5.7"
"43534000","0","3283","5.7"
"43744000","0","3283","5.7"
"43955000","0","3283","5.7"
"44363000","0","3283","5.7"
"44630000","0","3283","5.7"
"44841000","0","3283","5.7"
"45051000","0","3283","5.7"
"45261000","0","3283","5.7"
"45669000","0","3283","6.0"
"45937000","0","3283","6.0"
"46146000","0","3283","6.0"
"46356000","0","3283","6.0"
"46566000","0","3283","6.0"
"46973000","0","3283","6.0"
"47241000","0","3283","6.0"
"47451000","0","3283","6.0"
"47661000","0","3283","6.0"
"47871000","0","3283","6.3"
"48279000","0","3283","6.3"
"48546000","0","3283","6.3"
"48757000","0","3283","6.3"
"48967000","0","3283","6.3"
"49177000","0","3283","6.3"
"49584000","0","3283","6.3"
"49852000","0","3283","6.3"
"50061000","0","3283","6.3"
"50271000","0","3283","6.6"
"50482000","0","3283","6.6"
"50895000","0","3283","6.6"
"51163000","0","3283","6.6"
"51373000","0","3283","6.6"
"51582000","0","3283","6.6"
"51792000","0","3283","6.6"
"52200000","0","3282","6.6"
"52468000","0","3282","6.9"
"52678000","0","3282","6.9"
"52888000","0","3283","6.9"
"53097000","0","3283","6.9"
"53488000","0","3283","6.9"
"53766000","0","3283","6.9"
"53975000","0","3283","6.9"
"54185000","0","3283","6.9"
"54395000","0","3282","6.9"
"54802000","0","3282","7.2"
"55069000","0","3282","7.2"
"55279000","0","3282","7.2"
"55490000","0","3283","7.2"
"55700000","0","3283","7.2"
"56108000","0","3283","7.2"
"56375000","0","3283","7.2"
"56587000","0","3282","7.2"
"56795000","0","3282","7.2"
"57005000","0","3282","7.5"
"57413000","0","3282","7.5"
"57680000","0","3282","7.5"
"57890000","0","3282","7.5"
"58099000","0","3282","7.5"
"58309000","0","3282","7.5"
"58717000","0","3282","7.5"
"58985000","0","3282","7.5"
"59194000","0","3282","7.8"
"59405000","0","3282","7.8"
"59615000","0","3282","7.8"
"60022000","0","3282","7.8"
"60290000","0","3283","7.8"
"60500000","0","3283","7.8"
"60715000","0","3283","7.8"
"60925000","0","3283","7.8"
"61333000","0","3282","7.8"
"61600000","0","3282","8.0"
"61810000","0","3282","8.0"
"62021000","0","3283","8.0"
"62231000","0","3283","8.0"
"62639000","0","3283","8.0"
"62906000","0","3283","8.0"
